LENDING_BUSINESS_ID,BUSINESS_ID,FIRST_DUEDATE,FIRST_CURE_DATE,SECOND_DUEDATE,SECOND_CURE_DATE,THIRD_DUEDATE,THIRD_CURE_DATE,FOURTH_DUEDATE,FOURTH_CURE_DATE,FIFTH_DUEDATE,FIFTH_CURE_DATE,SIXTH_DUEDATE,SIXTH_CURE_DATE,FPD,SPD,TPD,FRPD,FFPD,SXPD,FIRST_CURE_FLAG,SECOND_CURE_FLAG,THIRD_CURE_FLAG,FOURTH_CURE_FLAG,FIFTH_CURE_FLAG,SIXTH_CURE_FLAG,FIRST_CURE_DAYS,SECOND_CURE_DAYS,THIRD_CURE_DAYS,FOURTH_CURE_DAYS,FIFTH_CURE_DAYS,SIXTH_CURE_DAYS,FIRST_EMI_AMOUNT,FIRST_AMOUNT_CURED,SECOND_EMI_AMOUNT,SECOND_AMT_CURED,THIRD_EMI_AMOUNT,THIRD_AMT_CURED,FOURTH_EMI_AMOUNT,FOURTH_AMT_CURED,FIFTH_AMT_CURED,SIXTH_AMT_CURED
7013dc3a-9811-435c-85c6-6e67d8bac172,a95f2cd7-d227-4277-85a7-9c72302a7f98,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,670.830000,670.83,,,,,,,,
08200ac7-28a7-4095-bfa9-0838725af6e8,a26eecaf-42fc-4a3f-ac38-1346c0515e45,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,280.000000,280.0,,,,,,,,
0138d8ed-6015-4a69-b0b5-d8c73f70d873,a6f371ff-2124-4b94-b8d4-f6c967ccdbc6,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,1995.000000,1995.0,,,,,,,,
a99baf75-3e39-44e3-9acd-3d15b591e322,5b99b9e2-9738-4a3c-978b-6c2ecbc32ec9,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,137.660000,137.66,,,,,,,,
16eb7ae6-d0e1-46b2-b9fc-6a9d7d287ee8,a58d210a-19fe-46b5-9185-8f0affc9de55,2023-06-04,,,,,,,,,,,,1,,,,,,0,0,0,0,0,0,,,,,,,302.470000,,,,,,,,,
c43bcf36-894a-494f-bc84-7636debe3339,41c46b53-5d40-4d8b-a342-3e44b2de6312,2023-06-04,2023-06-06,,,,,,,,,,,1,,,,,,1,0,0,0,0,0,2,,,,,,262.140000,262.14,,,,,,,,
9fc4ffd4-62e1-40ef-936b-d65b201efda7,0b3425b0-2c04-4331-9651-fd0dd603b628,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,113.500000,113.5,,,,,,,,
a15b72c9-dff8-4615-8851-11a5cbef36ad,2933651d-5223-4699-8019-576be90bde92,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,280.000000,280.0,,,,,,,,
43c7b0c9-6024-4887-a6d2-96aa0d6f165e,c28b94ff-68e3-4dda-9c7b-8cab8b5965f9,2023-06-04,2023-06-04,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,,,,,,,862.490000,862.49,,,,,,,,
f7977a96-51b0-42bc-98ee-955de2a0b0c9,be184c06-34d4-4507-bf01-3be1e449f647,2023-06-04,2023-06-15,,,,,,,,,,,1,,,,,,1,0,0,0,0,0,11,,,,,,340.500000,1642.39,,,,,,,,
